Filters:
"In program","'Residential/Community Developer'"


"Parcel ID","Address","Owners"
="31163090680000","400 W CENTRAL AVE, Matteson, IL, 60443","-"
="16111280500000","401 N SPRINGFIELD AVE, Chicago, IL, 60624","-"
="16151290010000","403 S KILBOURN AVE, Chicago, IL, 60624","-"
="16111290400000","414 N HAMLIN AVE, Chicago, IL, 60624","-"
="16161190310000","414 S LARAMIE AVE, Chicago, IL, 60644","-"
="16111280170000","417 N SPRINGFIELD AVE, Chicago, IL, 60624","-"
="20154010290000","418 E 61ST ST, Chicago, IL, 60637","-"
="16111290160000","419 N AVERS AVE, Chicago, IL, 60624","-"
="16111280160000","419 N SPRINGFIELD AVE, Chicago, IL, 60624","-"
="25093310310000","420 W 103RD ST, Chicago, IL, 60628","-"
="20283320050000","421 W WINNECONNA PKY, Chicago, IL, 60620","-"
="25093310300000","422 W 103RD ST, Chicago, IL, 60628","-"
="20211290120000","426 W 66TH PL, Chicago, IL, 60621","-"
="25211060080000","431 W 111TH ST, Chicago, IL, 60628","-"
="20154170130000","432 E 63RD ST, Chicago, IL, 60637","-"
="16111270370000","432 N SPRINGFIELD AVE, Chicago, IL, 60624","-"
="16111290100000","437 N AVERS AVE, Chicago, IL, 60624","-"
="20163140230000","438 W 61ST ST, Chicago, IL, 60621","-"
="20211300130000","438 W MARQUETTE RD, Chicago, IL, 60621","-"
="16111290090000","439 N AVERS AVE, Chicago, IL, 60624","-"
="16111270100000","439 N HARDING AVE, Chicago, IL, 60624","-"
="16111280310000","440 N AVERS AVE, Chicago, IL, 60624","-"
="16111270090000","441 N HARDING AVE, Chicago, IL, 60624","-"
="20283190270000","444 W WINNECONNA PKY, Chicago, IL, 60620","-"
="16111280280000","448 N AVERS AVE, Chicago, IL, 60624","-"
="25161050030000","449 W 103RD ST, Chicago, IL, 60628","-"
="16111260060000","452 N HARDING AVE, Chicago, IL, 60624","-"
="16111260050000","454 N HARDING AVE, Chicago, IL, 60624","-"
="20163170370000","456 W 61ST PL, Chicago, IL, 60621","-"
="16111270020000","457 N HARDING AVE, Chicago, IL, 60624","-"
="16111270010000","459 N HARDING AVE, Chicago, IL, 60624","-"
="20163130350000","500 W 61ST ST, Chicago, IL, 60621","-"
="20163190290000","516 W 62ND ST, Chicago, IL, 60621","-"
="16091200480000","520 N LARAMIE AVE, Chicago, IL, 60644","-"
="16091190350000","520 N LOCKWOOD AVE, Chicago, IL, 60644","-"
="16091190340000","524 N LOCKWOOD AVE E, Chicago, IL, 60644","-"
="25333300140000","525 W PACESETTER PKY, Riverdale, IL, 60827","-"
="16111180290000","526 N HARDING AVE, Chicago, IL, 60624","-"
="20211270170000","526 W 66TH PL, Chicago, IL, 60621","-"
="20163220240000","526 W ENGLEWOOD AVE, Chicago, IL, 60621","-"
="25161040110000","527 W 103RD ST, Chicago, IL, 60628","-"
="25333300130000","527 W PACESETTER PKY, Riverdale, IL, 60827","-"
="16092160390000","528 N LEAMINGTON AVE, Chicago, IL, 60644","-"
="16111200250000","530 N AVERS AVE, Chicago, IL, 60624","-"
="16111190120000","531 N HARDING AVE, Chicago, IL, 60624","-"
="25333300120000","531 W PACESETTER PKY, Riverdale, IL, 60827","-"
="29101080250000","532 E SIBLEY BLVD, Dolton, IL, 60419","-"
="29101080260000","534 E SIBLEY BLVD, Dolton, IL, 60419","-"
="16111190100000","537 N HARDING AVE, Chicago, IL, 60624","-"
="16092210380000","540 N CICERO AVE, Chicago, IL, 60644","-"
="20272270510000","542 E 75TH ST, Chicago, IL, 60619","-"
="16111190290000","542 N SPRINGFIELD AVE, Chicago, IL, 60624","-"
="16112220020000","543 N SPAULDING AVE, Chicago, IL, 60624","-"
="20272270520000","544 E 75TH ST, Chicago, IL, 60619","-"
="16111180060000","545 N PULASKI RD, Chicago, IL, 60624","-"
="16111180050000","547 N PULASKI RD, Chicago, IL, 60624","-"
="20163220030000","547 W 62ND ST, Chicago, IL, 60621","-"
="20272270530000","548 E 75TH ST, Chicago, IL, 60619","-"
="20163220170000","550 W ENGLEWOOD AVE, Chicago, IL, 60621","-"
="20154050280000","612 E 61ST ST, Chicago, IL, 60637","-"
="16111120240000","613 N SPRINGFIELD AVE, Chicago, IL, 60624","-"
="16111150100000","617 N RIDGEWAY AVE, Chicago, IL, 60624","-"
="20163090390000","618 W 61ST ST, Chicago, IL, 60621","-"
="20163020220000","620 W 60TH ST, Chicago, IL, 60621","-"
="20222290370000","628 E 67TH ST, Chicago, IL, 60637","-"
="16092090220000","642 N LECLAIRE AVE, Chicago, IL, 60644","-"
="16111110260000","646 N SPRINGFIELD AVE, Chicago, IL, 60624","-"
="25032020430000","652 E 87TH PL, Chicago, IL, 60619","-"
="16111110230000","654 N SPRINGFIELD AVE, Chicago, IL, 60624","-"
="29032040300000","678 E 142ND ST, Dolton, IL, 60419","-"
="16092010210000","703 N LEAMINGTON AVE, Chicago, IL, 60644","-"
="20272060240000","712 E 72ND ST, Chicago, IL, 60619","-"
="16092000320000","720 N LEAMINGTON AVE, Chicago, IL, 60644","-"
="16091010190000","724 N LOTUS AVE, Chicago, IL, 60644","-"
="20161210330000","724 W 59TH ST, Chicago, IL, 60621","-"
="25034070250000","726 E 92ND ST, Chicago, IL, 60619","-"
="16111020110000","729 N SPRINGFIELD AVE, Chicago, IL, 60624","-"
="16111010270000","736 N SPRINGFIELD AVE, Chicago, IL, 60624","-"
="16111030130000","739 N AVERS AVE, Chicago, IL, 60624","-"
="16112010230000","740 N SAINT LOUIS AVE, Chicago, IL, 60624","-"
="16153170200000","740 S KENNETH AVE, Chicago, IL, 60624","-"
="25034110150000","741 E 92ND ST, Chicago, IL, 60619","-"
="16091060270000","744 N LARAMIE AVE, Chicago, IL, 60644","-"
="16153150040000","804 S KOLMAR AVE, Chicago, IL, 60624","-"
="25021040480000","807 E 88TH ST D, Chicago, IL, 60619","-"
="16154100360000","808 S KEDVALE AVE, Chicago, IL, 60624","-"
="16153150060000","808 S KOLMAR AVE, Chicago, IL, 60624","-"
="15103310230000","828 S 17TH AVE, Maywood, IL, 60153","-"
="16023270100000","833 N SPRINGFIELD AVE, Chicago, IL, 60651","-"
="20172300270000","854 W 59TH ST, Chicago, IL, 60621","-"
="16133180020000","905 S SACRAMENTO AVE, Chicago, IL, 60612","-"
="16023180390000","918 N SPRINGFIELD AVE, Chicago, IL, 60651","-"
="16023190150000","919 N SPRINGFIELD AVE, Chicago, IL, 60651","-"
="16023180490000","943 N HARDING AVE, Chicago, IL, 60651","-"
="15141000110000","1006 S 8TH AVE, Maywood, IL, 60153","-"
="15152070180000","1010 S 9TH AVE, Maywood, IL, 60153","-"
="20174030010000","1019 W 59TH ST, Chicago, IL, 60621","-"
="16023110310000","1024 N AVERS AVE, Chicago, IL, 60651","-"
="16034150270000","1040 N PULASKI RD, Chicago, IL, 60651","-"
="16034070400000","1100 N PULASKI RD, Chicago, IL, 60651","-"
="16154220380000","1112 S KEELER AVE, Chicago, IL, 60624","-"
="16143250080000","1115 S INDEPENDENCE BLVD, Chicago, IL, 60624","-"
="16133250280000","1124 S ALBANY AVE, Chicago, IL, 60612","-"
="16133260290000","1130 S WHIPPLE ST, Chicago, IL, 60612","-"
="16143260430000","1133 S PULASKI RD, Chicago, IL, 60624","-"
="16133290130000","1137 S RICHMOND ST, Chicago, IL, 60612","-"
="16133250330000","1138 S ALBANY AVE, Chicago, IL, 60612","-"
="16133260170000","1143 S ALBANY AVE, Chicago, IL, 60612","-"
="16133270170000","1143 S WHIPPLE ST, Chicago, IL, 60612","-"
="16023000190000","1144 N HARDING AVE, Chicago, IL, 60651","-"
="16231000230000","1216 S HARDING AVE, Chicago, IL, 60623","-"
="16232060290000","1226 S SAWYER AVE, Chicago, IL, 60623","-"
="16222050130000","1229 S KEDVALE AVE, Chicago, IL, 60623","-"
="16212030200000","1231 S 50TH CT, Cicero, IL, 60804","-"
="16241010170000","1233 S TROY ST, Chicago, IL, 60623","-"
="16212030210000","1235 S 50TH CT, Cicero, IL, 60804","-"
="16232060160000","1235 S SPAULDING AVE, Chicago, IL, 60623","-"
="16222040330000","1240 S KEDVALE AVE, Chicago, IL, 60623","-"
="16222020210000","1243 S KILDARE AVE, Chicago, IL, 60623","-"
="16232060190000","1243 S SPAULDING AVE, Chicago, IL, 60623","-"
="20291090660000","1246 W 72ND ST, Chicago, IL, 60636","-"
="16232060210000","1249 S SPAULDING AVE, Chicago, IL, 60623","-"
="16222060370000","1252 S KOMENSKY AVE, Chicago, IL, 60623","-"
="20291140330000","1254 W 72ND PL, Chicago, IL, 60636","-"
="16232040240000","1255 S HOMAN AVE, Chicago, IL, 60623","-"
="16232060230000","1255 S SPAULDING AVE, Chicago, IL, 60623","-"
="20291330060000","1269 W 74TH PL, Chicago, IL, 60636","-"
="20291330050000","1271 W 74TH PL, Chicago, IL, 60636","-"
="20291330040000","1273 W 74TH PL, Chicago, IL, 60636","-"
="16222080010000","1301 S KOSTNER AVE, Chicago, IL, 60623","-"
="16222080020000","1305 S KOSTNER AVE, Chicago, IL, 60623","-"
="20291180120000","1305 W 72ND PL, Chicago, IL, 60636","-"
="16222110250000","1306 S KEELER AVE, Chicago, IL, 60623","-"
="16222100230000","1310 S TRIPP AVE, Chicago, IL, 60623","-"
="16231080050000","1315 S HARDING AVE, Chicago, IL, 60623","-"
="16222090080000","1319 S KOLIN AVE, Chicago, IL, 60623","-"
="16222090090000","1321 S KOLIN AVE, Chicago, IL, 60623","-"
="16222140310000","1322 S KOMENSKY AVE, Chicago, IL, 60623","-"
="16222100280000","1322 S TRIPP AVE, Chicago, IL, 60623","-"
="16231080080000","1323 S HARDING AVE, Chicago, IL, 60623","-"
="16231080090000","1327 S HARDING AVE, Chicago, IL, 60623","-"
="16222110330000","1328 S KEELER AVE, Chicago, IL, 60623","-"
="16222080130000","1333 S KOSTNER AVE, Chicago, IL, 60623","-"
="16222100120000","1335 S KILDARE AVE, Chicago, IL, 60623","-"
="16222110370000","1338 S KEELER AVE, Chicago, IL, 60623","-"
="16222090290000","1338 S KILDARE AVE, Chicago, IL, 60623","-"
="16222080290000","1338 S KOLIN AVE, Chicago, IL, 60623","-"
="16222100130000","1339 S KILDARE AVE, Chicago, IL, 60623","-"
="16222120180000","1343 S KEELER AVE, Chicago, IL, 60623","-"
="25173330270000","1348 W 111TH ST, Chicago, IL, 60643","-"
="16222100440000","1349 S KILDARE AVE, Chicago, IL, 60623","-"
="16231090440000","1350 S AVERS AVE, Chicago, IL, 60623","-"
="16231090410000","1356 S AVERS AVE, Chicago, IL, 60623","-"
="20291170130000","1401 W 72ND PL, Chicago, IL, 60636","-"
="20291220130000","1401 W 73RD ST, Chicago, IL, 60636","-"
="16032160420000","1408 N KEELER AVE, Chicago, IL, 60651","-"
="16221090040000","1411 S KILBOURN AVE, Chicago, IL, 60623","-"
="16221090050000","1413 S KILBOURN AVE, Chicago, IL, 60623","-"
="25173320210000","1416 W 111TH ST, Chicago, IL, 60643","-"
="16222190090000","1423 S KEELER AVE, Chicago, IL, 60623","-"
="16231140100000","1423 S PULASKI RD, Chicago, IL, 60623","-"
="20291020030000","1429 W 71ST ST, Chicago, IL, 60636","-"
="20321020050000","1435 W 79TH ST, Chicago, IL, 60620","-"
="16222180300000","1436 S KEELER AVE, Chicago, IL, 60623","-"
="16231140160000","1439 S PULASKI RD, Chicago, IL, 60623","-"
="16232200170000","1439 S SPAULDING AVE, Chicago, IL, 60623","-"
="20173180380000","1440 W 62ND ST, Chicago, IL, 60636","-"
="16231140170000","1441 S PULASKI RD, Chicago, IL, 60623","-"
="16222220370000","1442 S PULASKI RD, Chicago, IL, 60623","-"
="16231140180000","1445 S PULASKI RD, Chicago, IL, 60623","-"
="16232200190000","1445 S SPAULDING AVE, Chicago, IL, 60623","-"
="16221100410000","1446 S KOSTNER AVE, Chicago, IL, 60623","-"
="16231140190000","1447 S PULASKI RD, Chicago, IL, 60623","-"
="16222160310000","1448 S KOLIN AVE, Chicago, IL, 60623","-"
