Parcel ID,Address,Investment Flag,Estimated Value,Confidence,Comp Count,Price/sqft,Sqft,Beds,Baths,Year Built,Assessed Value,Last Sale Price,Last Sale Date,Prop Type,Status,Notes
20194130260000,"6818 S PAULINA ST, CHICAGO, IL, 60636",NO,"$100,000",LOW,25,N/A,,8.0,,,N/A,N/A,,,success,25 comp(s) used | variance 130.1%
25164030080000,"10723 S WENTWORTH AVE, CHICAGO, IL, 60628",NO,"$87,000",LOW,21,N/A,,2.0,,,N/A,N/A,,,success,21 comp(s) used | variance 91.0%
29122080410000,"321 PAXTON AVE, CALUMET CITY, IL, 60409",NO,"$170,000",LOW,24,N/A,,2.0,,,N/A,N/A,,,success,24 comp(s) used | variance 49.8%
25213300110000,"11829 S UNION AVE, CHICAGO, IL, 60628",NO,"$170,500",LOW,22,N/A,,,,,N/A,N/A,,,success,22 comp(s) used | variance 53.8%
25223000110000,"11561 S STATE ST, CHICAGO, IL, 60628",NO,"$58,800",LOW,25,N/A,,5.0,,,N/A,N/A,,,success,25 comp(s) used | variance 157.3%
16151290010000,"403 S KILBOURN AVE, CHICAGO, IL, 60624",YES,"$375,000",LOW,25,N/A,,,,,N/A,N/A,,,success,25 comp(s) used | variance 61.9%
16091060270000,"744 N LARAMIE AVE, CHICAGO, IL, 60644",MAYBE,"$318,750",LOW,24,N/A,,3.0,,,N/A,N/A,,,success,24 comp(s) used | variance 49.9%
16232290210000,"1555 S SAWYER AVE, CHICAGO, IL, 60623",NO,"$242,500",LOW,20,N/A,,,,,N/A,N/A,,,success,20 comp(s) used | variance 83.5%
16131200050000,"3015 W JACKSON BLVD, CHICAGO, IL, 60612",NO,"$205,000",LOW,22,N/A,,,,,N/A,N/A,,,success,22 comp(s) used | variance 110.7%
16023040050000,"3747 W DIVISION ST, CHICAGO, IL, 60651",YES,"$367,500",LOW,24,N/A,,,,,N/A,N/A,,,success,24 comp(s) used | variance 72.9%
16162210680000,"4816 W HARRISON ST, CHICAGO, IL, 60644",MAYBE,"$299,500",LOW,25,N/A,,,,,N/A,N/A,,,success,25 comp(s) used | variance 103.7%
20161220030000,"5805 S UNION AVE, CHICAGO, IL, 60621",NO,"$127,750",LOW,24,N/A,,,,,N/A,N/A,,,success,24 comp(s) used | variance 86.7%
20204100090000,"6823 S ABERDEEN ST, CHICAGO, IL, 60621",NO,"$138,500",LOW,24,N/A,,2.0,,,N/A,N/A,,,success,24 comp(s) used | variance 103.8%
16142140210000,"323 S CENTRAL PARK AVE, CHICAGO, IL 60601",UNKNOWN,N/A,NONE,0,N/A,,,,,N/A,N/A,,,failed,"HTTP 400: {""status"":{""version"":""1.0.0"",""code"":400,""msg"":""SuccessWithoutResult"",""total"":0,""responseDateTime"":""2"
25013100470000,"9251 S STONY ISLAND AVE, CHICAGO, IL, 60617",NO,"$164,500",LOW,25,N/A,,,,,N/A,N/A,,,success,25 comp(s) used | variance 100.4%
25121080570000,"9737 S VAN VLISSINGEN RD, CHICAGO, IL, 60617",NO,"$165,500",MEDIUM,25,N/A,,,,,N/A,N/A,,,success,25 comp(s) used | variance 37.0%
16224280140000,"4015 W 21ST PL 1, CHICAGO, IL, 60623",MAYBE,"$312,500",LOW,25,N/A,,6.0,,,N/A,N/A,,,success,25 comp(s) used | variance 47.9%
29024020300000,"14234 KENWOOD AVE, DOLTON, IL, 60419",NO,"$200,000",MEDIUM,25,N/A,,3.0,,,N/A,N/A,,,success,25 comp(s) used | variance 29.3%
16111290400000,"414 N HAMLIN AVE, CHICAGO, IL, 60624",NO,"$265,000",LOW,24,N/A,,,,,N/A,N/A,,,success,24 comp(s) used | variance 82.7%
16153150040000,"804 S KOLMAR AVE, CHICAGO, IL, 60624",MAYBE,"$320,000",LOW,23,N/A,,,,,N/A,N/A,,,success,23 comp(s) used | variance 85.4%
16232260430000,"1558 S CHRISTIANA AVE, CHICAGO, IL, 60623",MAYBE,"$320,000",LOW,25,N/A,,,,,N/A,N/A,,,success,25 comp(s) used | variance 60.8%
16133050160000,"3021 W FLOURNOY ST, CHICAGO, IL, 60612",NO,"$78,000",LOW,23,N/A,,,,,N/A,N/A,,,success,23 comp(s) used | variance 179.8%
16111210020000,"3815 W OHIO ST, CHICAGO, IL, 60624",NO,"$237,000",LOW,24,N/A,,,,,N/A,N/A,,,success,24 comp(s) used | variance 137.1%
16162210340000,"4821 W CONGRESS PKY, CHICAGO, IL, 60644",NO,"$230,000",LOW,25,N/A,,,,,N/A,N/A,,,success,25 comp(s) used | variance 128.6%
20171290040000,"5807 S ADA ST, CHICAGO, IL, 60636",NO,"$78,000",LOW,24,N/A,,,,,N/A,N/A,,,success,24 comp(s) used | variance 234.2%
20203090110000,"6827 S JUSTINE ST, CHICAGO, IL, 60636",NO,"$85,000",LOW,25,N/A,,3.0,,,N/A,N/A,,,success,25 comp(s) used | variance 301.7%
25212160340000,"11346 S HARVARD AVE, CHICAGO, IL, 60628",NO,"$110,750",LOW,24,N/A,,3.0,,,N/A,N/A,,,success,24 comp(s) used | variance 99.3%
20353090390000,"8544 S MARYLAND AVE, CHICAGO, IL, 60619",NO,"$162,000",LOW,23,N/A,,3.0,,,N/A,N/A,,,success,23 comp(s) used | variance 123.2%
29044300060000,"14509 S MICHIGAN AVE, RIVERDALE, IL, 60827",NO,"$148,000",LOW,25,N/A,,,,,N/A,N/A,,,success,25 comp(s) used | variance 41.7%
29121100660000,"332 MADISON AVE, CALUMET CITY, IL, 60409",NO,"$211,000",LOW,24,N/A,,3.0,,,N/A,N/A,,,success,24 comp(s) used | variance 80.6%
25021040480000,"807 E 88TH ST D, CHICAGO, IL, 60619",UNKNOWN,N/A,NONE,0,N/A,,,,,N/A,N/A,,,failed,"HTTP 400: {""status"":{""version"":""1.0.0"",""code"":400,""msg"":""SuccessWithoutResult"",""total"":0,""responseDateTime"":""2"
16161190310000,"414 S LARAMIE AVE, CHICAGO, IL, 60644",NO,"$211,500",LOW,24,N/A,,,,,N/A,N/A,,,success,24 comp(s) used | variance 53.6%
29023230210000,"14418 UNIVERSITY AVE, DOLTON, IL, 60419",NO,"$140,000",LOW,25,N/A,,3.0,,,N/A,N/A,,,success,25 comp(s) used | variance 45.9%
16232280210000,"1559 S SPAULDING AVE, CHICAGO, IL, 60623",NO,"$255,000",LOW,24,N/A,,,,,N/A,N/A,,,success,24 comp(s) used | variance 75.9%
16133170030000,"3051 W ARTHINGTON ST, CHICAGO, IL, 60612",NO,"$115,000",LOW,23,N/A,,,,,N/A,N/A,,,success,23 comp(s) used | variance 132.9%
16111200420000,"3834 W FERDINAND ST, CHICAGO, IL, 60624",NO,"$218,000",LOW,24,N/A,,,,,N/A,N/A,,,success,24 comp(s) used | variance 93.8%
16092310230000,"4826 W KINZIE ST, CHICAGO, IL, 60644",NO,"$250,000",LOW,25,N/A,,,,,N/A,N/A,,,success,25 comp(s) used | variance 60.0%
20161210030000,"5807 S EMERALD AVE, CHICAGO, IL, 60621",NO,"$108,750",LOW,24,N/A,,,,,N/A,N/A,,,success,24 comp(s) used | variance 103.6%
20194080110000,"6829 S DAMEN AVE, CHICAGO, IL, 60636",NO,"$120,000",LOW,25,N/A,,2.0,,,N/A,N/A,,,success,25 comp(s) used | variance 78.3%
25283020300000,"12314 S LOWE AVE 4, CHICAGO, IL, 60628",NO,"$117,000",LOW,25,N/A,,5.0,,,N/A,N/A,,,success,25 comp(s) used | variance 64.8%
25163210050000,"11013 S HALSTED ST, CHICAGO, IL, 60628",NO,"$240,000",LOW,23,N/A,,4.0,,,N/A,N/A,,,success,23 comp(s) used | variance 71.6%
31364080270000,"338 OSWEGO ST, PARK FOREST, IL, 60466",NO,"$110,500",LOW,24,N/A,,2.0,,,N/A,N/A,,,success,24 comp(s) used | variance 44.9%
29023240060000,"14419 UNIVERSITY AVE, DOLTON, IL, 60419",NO,"$150,000",LOW,25,N/A,,3.0,,,N/A,N/A,,,success,25 comp(s) used | variance 42.1%
16111280170000,"417 N SPRINGFIELD AVE, CHICAGO, IL, 60624",NO,"$250,000",LOW,25,N/A,,,,,N/A,N/A,,,success,25 comp(s) used | variance 87.2%
16154100360000,"808 S KEDVALE AVE, CHICAGO, IL, 60624",YES,"$355,000",LOW,25,N/A,,2.0,,,N/A,N/A,,,success,25 comp(s) used | variance 59.4%
16241060070000,"1561 S KEDZIE AVE, CHICAGO, IL, 60623",NO,"$225,000",LOW,19,N/A,,,,,N/A,N/A,,,success,19 comp(s) used | variance 92.4%
16133170020000,"3055 W ARTHINGTON ST, CHICAGO, IL, 60612",NO,"$115,000",LOW,23,N/A,,,,,N/A,N/A,,,success,23 comp(s) used | variance 157.8%
16141050190000,"3842 W ADAMS ST, CHICAGO, IL, 60624",MAYBE,"$310,000",LOW,25,N/A,,,,,N/A,N/A,,,success,25 comp(s) used | variance 46.4%
